,UK Model Names: ,UK Prices: ,AU Model Names: ,AU Prices: ,Better or Worse Value: ,GBP to AUD converted: 
476,Hospitaller,24.00,Weirdboy,39.00,Worse in AUD,42.0
477,Primaris Captain,24.00,Ork Nob With Waaagh! Banner,39.00,Worse in AUD,42.0
478,Captain in Gravis Armour,24.00,Dark Angels Chapter Ancient,39.00,Worse in AUD,42.0
479,Kabalite Warriors,24.00,Njal Stormcaller in Terminator Armour,39.00,Worse in AUD,42.0
480,Scout Bike Squad,24.00,Primaris Lieutenant Zakariah,35.00,Worse in AUD,42.0
481,"Karanak, The Hound of Vengeance",24.00,Lokhust Destroyer,35.00,Worse in AUD,42.0
482,Captain with Master-crafted Heavy Bolt Rifle\t\t\t\t\t\t,24.00,Myphitic Blight-hauler,35.00,Worse in AUD,42.0
483,Dark Apostle,24.00,Blood Angels Primaris Lieutenant Tolmeron,35.00,Worse in AUD,42.0
484,Land Speeder Storm,24.00,Librarian,33.00,Worse in AUD,42.0
485,Lord of Virulence\t\t\t\t\t\t,24.00,Ork Warboss with Big Choppa,33.00,Worse in AUD,42.0
486,Dire Avengers,24.00,Ratlings,33.00,Worse in AUD,42.0
487,Plaguebearers of Nurgle,24.00,Astorath the Grim,33.00,Worse in AUD,42.0
488,Primaris Techmarine,24.00,Colour Sergeant Kell,33.00,Worse in AUD,42.0
489,Primaris Chaplain,24.00,Rune Priest,33.00,Worse in AUD,42.0
490,Scout Sentinel,24.00,Ork Painboy,31.00,Worse in AUD,42.0
491,Daemonettes of Slaanesh,24.00,Dark Angels Interrogator-Chaplain,30.00,Worse in AUD,42.0
492,Chronomancer\t\t\t\t\t\t,24.00,Acolyte Iconward,30.00,Worse in AUD,42.0
493,Beastboss,24.00,Overlord,29.00,Worse in AUD,42.0
494,Primaris Ancient,24.00,Archon,29.00,Worse in AUD,42.0
495,Skulltaker,24.00,Catachan Snipers,29.00,Worse in AUD,42.0
496,War Walker,24.00,Ork Gretchin,29.00,Worse in AUD,42.0
497,Painboss,24.00,Regimental Advisors,29.00,Worse in AUD,42.0
498,Kroot Carnivore Squad,24.00,Nemesor Zahndrekh,29.00,Worse in AUD,42.0
499,Venom,24.00,Winged Autarch,28.50,Worse in AUD,42.0
500,Captain Uriel Ventris\t\t\t\t\t\t,24.00,Emperor's Children Lucius the Eternal,28.00,Worse in AUD,42.0
501,Severina Raine,22.00,Asmodai,28.00,Worse in AUD,38.5
502,Eisenhorn,22.00,"Lemartes, Guardian of the Lost",28.00,Worse in AUD,38.5
503,Iron Priest,21.00,Imotekh the Stormlord,28.00,Worse in AUD,36.75
504,Attack Bike,21.00,Commander Dante,28.00,Worse in AUD,36.75
505,Catachan Jungle Fighters,21.00,Kroot Hounds,27.00,Worse in AUD,36.75
506,Ork Lootas,21.00,Cadian Snipers,26.00,Worse in AUD,36.75
507,Catachan Command Squad,21.00,Lhamaean,26.00,Worse in AUD,36.75
508,Psychomancer\t\t\t\t\t\t,21.00,Succubus,25.00,Worse in AUD,36.75
509,The Changeling,21.00,Cadre Fireblade,25.00,Worse in AUD,36.75
510,Fallen,21.00,Farseer,25.00,Worse in AUD,36.75
511,Lokhust Heavy Destroyer\t\t\t\t\t\t,21.00,Poxbringer ,25.00,Worse in AUD,36.75
512,Ork Nobz,21.00,Sergeant Harker,23.00,Worse in AUD,36.75
513,Cypher,21.00,Colonel 'Iron Hand' Straken,23.00,Worse in AUD,36.75
514,Flamers of Tzeentch  ,21.00,Night Lords Chaos Lord,22.00,Worse in AUD,36.75
515,Darkstrider,21.00,Jokaero Weaponsmith,22.00,Worse in AUD,36.75
516,XV25 Stealth Battlesuits,21.00,Primaris Psyker,22.00,Worse in AUD,36.75
517,Company Veterans,21.00,Wyrdvane Psykers,22.00,Worse in AUD,36.75
518,Spoilpox Scrivener ,21.00,Missionary with Chainsword,19.00,Worse in AUD,36.75
519,Librarian,21.00,Vindicare Assassin,60.00,Worse in AUD,36.75
520,Primaris Lieutenant in Reiver Armour,21.00,Death Cult Assassins,26.00,Worse in AUD,36.75
521,Hexmark Destroyer,21.00,Tesseract Vault,170.00,Worse in AUD,36.75
522,Nurglings,21.00,XV8 Crisis Battlesuit Team,125.00,Worse in AUD,36.75
523,Space Marines Chaplain,21.00,Tidewall Droneport,91.00,Worse in AUD,36.75
524,Sister Superior Amalia Novena,21.00,Deathwing Knights,75.00,Worse in AUD,36.75
525,Tzaangor Shaman,21.00,Lord Kaldor Draigo,39.00,Worse in AUD,36.75
526,Scourges,21.00,Inquisitor with Inferno Pistol & Power Sword,26.00,Worse in AUD,36.75
527,Poxwalkers,21.00,Carnifex Brood,130.00,Worse in AUD,36.75
528,Sloppity Bilepiper,21.00,Kill Team Cassius,110.00,Worse in AUD,36.75
529,Sister Dogmata,21.00,Ravenwing Dark Talon,81.00,Worse in AUD,36.75
530,Ork Stormboyz,21.00,Voidraven Bomber,115.00,Worse in AUD,36.75
531,Ordo Xenos Lord Inquisitor Kyria Draxus,21.00,Khorne Lord of Skulls,170.00,Worse in AUD,36.75
532,Palatine\t\t\t\t\t\t,21.00,Tyranid Harpy,115.00,Worse in AUD,36.75
533,Primaris Librarian in Phobos Armour,21.00,Trygon,106.00,Worse in AUD,36.75
534,Eldrad Ulthran  ,21.00,Basilisk,83.00,Worse in AUD,36.75
535,Scouts,21.00, AX3 Razorshark Strike Fighter,76.00,Worse in AUD,36.75
536,Tyranids Termagant Brood,21.00,Solitaire,28.50,Worse in AUD,36.75
537,The Masque,21.00,Starweaver,69.00,Worse in AUD,36.75
538,Scouts with Sniper Rifles,21.00,Land Raider,110.00,Worse in AUD,36.75
539,Cryptek,21.00,Toxicrene,100.00,Worse in AUD,36.75
540,Screamers of Tzeentch,21.00,Hellhound,83.00,Worse in AUD,36.75
541,Blood Angels Chaplain With Jump Pack,21.00,Voidweaver,69.00,Worse in AUD,36.75
542,Ork Burna Boyz,21.00,Swooping Hawks,63.00,Worse in AUD,36.75
543,Tech-Priest Enginseer,21.00,Belial,39.00,Worse in AUD,36.75
544,Primaris Firestrike Servo-turret                                                ,21.00,Blood Angels Librarian in Terminator Armour,30.00,Worse in AUD,36.75
545,Ulrik the Slayer,21.00,Chaos Land Raider,110.00,Worse in AUD,36.75
546,Primaris Lieutenant with Power Sword,21.00,Striking Scorpions,63.00,Worse in AUD,36.75
547,Black Templars Marshal,21.00,Knight Valiant,280.00,Worse in AUD,36.75
548,Black Templars Castellan,21.00,Knight Tyrant with Conflagration Cannon and Thundercoil Harpoon,280.00,Worse in AUD,36.75
549,Wolf Lord Krom,20.00,Daemons Of Khorne Bloodcrushers,170.00,Worse in AUD,35.0
550,Dark Angels Interrogator-Chaplain,20.00,Obelisk & Transcendent C'tan,170.00,Worse in AUD,35.0
551,Fafnir Rann,19.00,Baneblade,165.00,Worse in AUD,33.25
552,Cultists of the Abyss,19.00,Stormlord,165.00,Worse in AUD,33.25
553,Skitarii Marshal,19.00,Stormsword,165.00,Worse in AUD,33.25
554,The Visarch,19.00,Banehammer,165.00,Worse in AUD,33.25
555,Ethereal,19.00,Shadowsword,165.00,Worse in AUD,33.25
556,Dominion Zephon,19.00,Hellhammer,165.00,Worse in AUD,33.25
557,Biologus Putrifier,18.00,Doomhammer,165.00,Worse in AUD,31.5
558,Overlord,18.00,Banesword,165.00,Worse in AUD,31.5
559,Kelermorph,18.00,Old One Eye's Carnifex Brood,130.00,Worse in AUD,31.5
560,Ork Warboss with Big Choppa,18.00,Thornback Brood,130.00,Worse in AUD,31.5
561,Plague Marine Champion,18.00,Screamer-Killer Brood,130.00,Worse in AUD,31.5
562,Seekers of Slaanesh,18.00,Armiger Warglaives,125.00,Worse in AUD,31.5
563,Sanctus,18.00,War Dogs with Thermal Spear,125.00,Worse in AUD,31.5
564,Plague Marine Icon Bearer,18.00,Wraithknight,125.00,Worse in AUD,31.5
565,"Nauseous Rotbone, the Plague Surgeon",18.00,Hive Crone,115.00,Worse in AUD,31.5
566,Abominant,18.00,Venerable Land Raider,110.00,Worse in AUD,31.5
567,Chaos Space Marines Sorcerer,18.00,Soul Grinder,110.00,Worse in AUD,31.5
568,Ratlings,18.00,Defiler,110.00,Worse in AUD,31.5
569,Hellions,18.00,Mawloc,106.00,Worse in AUD,31.5
570,Poxbringer ,18.00,Chosen of Mortarion\t\t\t\t\t\t,105.00,Worse in AUD,31.5
571,Primaris Lieutenant Zakariah,18.00,Abaddon the Despoiler,105.00,Worse in AUD,31.5
572,Officio Prefectus Commissar,18.00,Maleceptor,100.00,Worse in AUD,31.5
573,Phoenix Lord Baharroth,18.00,Primaris Infiltrators,98.00,Worse in AUD,31.5
574,Farseer,18.00,Exalted Sorcerers,98.00,Worse in AUD,31.5
575,Magus,18.00,Chaos Space Marines Terminators,98.00,Worse in AUD,31.5
576,Chaos Lord,18.00,Primaris Incursors,98.00,Worse in AUD,31.5
577,Cadre Fireblade,18.00,Noctilith Crown,98.00,Worse in AUD,31.5
578,Foul Blightspawn,18.00,Plague Drones of Nurgle,98.00,Worse in AUD,31.5
579,Sorcerer Lord in Terminator Armour,18.00,Mutalith Vortex Beast,96.00,Worse in AUD,31.5
580,Phoenix Lord Fuegan,18.00,Chaos Space Marines Havocs,90.00,Worse in AUD,31.5
581,Acolyte Iconward,18.00,Kill Team: Veteran Guardsmen,90.00,Worse in AUD,31.5
582,Blood Angels Primaris Lieutenant Tolmeron,18.00,Maulerfiend,90.00,Worse in AUD,31.5
583,"Bloodmaster, Herald of Khorne",18.00,Guardian Defenders,90.00,Worse in AUD,31.5
584,Locus,18.00,Horticulous Slimux,90.00,Worse in AUD,31.5
585,Inquisitor Greyfax,18.00,Storm Guardians,90.00,Worse in AUD,31.5
586,Chaos Space Marines Terminator Lord,18.00,Howling Banshees,90.00,Worse in AUD,31.5
587,Biophagus,18.00,Forgefiend,90.00,Worse in AUD,31.5
588,Imagifier,18.00,Sporocyst and Mucolid Spore,85.00,Worse in AUD,31.5
589,Archon,18.00,Tyrannocyte,85.00,Worse in AUD,31.5
590,Spiritseer,18.00,Primaris Eradicators\t\t\t\t\t\t,84.00,Worse in AUD,31.5
591,Nexos,18.00,Plague Marines,84.00,Worse in AUD,31.5
592,Clamavus,18.00,Mark III Space Marines,84.00,Worse in AUD,31.5
593,Master of Executions,18.00,Flayed Ones\t\t\t\t\t\t,84.00,Worse in AUD,31.5
594,"Scribbus Wretch, the Tallyman",18.00,Webway Gate,84.00,Worse in AUD,31.5
595,Ork Painboy,18.00,Fire Prism,83.00,Worse in AUD,31.5
596,Astorath the Grim,17.00,Night Spinner,83.00,Worse in AUD,29.75
597,Winged Autarch,17.00,Falcon,83.00,Worse in AUD,29.75
598,"The Sanguinor, Exemplar of the Host",17.00,Whirlwind,83.00,Worse in AUD,29.75
599,Colour Sergeant Kell,17.00,Epidemius,83.00,Worse in AUD,29.75
600,Njal Stormcaller in Terminator Armour,17.00,Vindicator,83.00,Worse in AUD,29.75
601,Lictor,17.00,Canis Wolfborn,83.00,Worse in AUD,29.75
602,Commissar Yarrick,17.00,Deathstrike,83.00,Worse in AUD,29.75
603,Herald of Slaanesh,17.00,Manticore,83.00,Worse in AUD,29.75
604,Arjac Rockfist,17.00,Nephilim Jetfighter,81.00,Worse in AUD,29.75
605,Phoenix Lord Karandras,17.00,Terminator Squad,80.00,Worse in AUD,29.75
606,Commander Dante,17.00,Canoptek Wraiths,79.00,Worse in AUD,29.75
607,"Lemartes, Guardian of the Lost",17.00,Helbrute,78.00,Worse in AUD,29.75
608,Lord Castellan Creed,17.00,Tzaangors,77.00,Worse in AUD,29.75
609,Sly Marbo  ,17.00,Shokkjump Dragsta,77.00,Worse in AUD,29.75
610,Grey Knights Brother Captain,17.00,AX39 Sun Shark Bomber,76.00,Worse in AUD,29.75
611,Asmodai,17.00,Deathwing Command Squad,75.00,Worse in AUD,29.75
612,Ork Nob With Waaagh! Banner,17.00,Deathwing Terminator Squad,75.00,Worse in AUD,29.75
613,Dark Angels Chapter Ancient,17.00,Ravener Brood,74.00,Worse in AUD,29.75
614,Nemesor Zahndrekh,17.00,Fabius Bile,70.00,Worse in AUD,29.75
615,Anrakyr the Traveller,17.00,Hybrid Metamorphs,70.00,Worse in AUD,29.75
616,Emperor's Children Lucius the Eternal,17.00,Acolyte Hybrids,70.00,Worse in AUD,29.75
617,Imotekh the Stormlord,17.00,Ravenwing Bike Squadron,69.00,Worse in AUD,29.75
618,Big Mek With Kustom Force Field,17.00,Biovore,69.00,Worse in AUD,29.75
619,Salamanders Captain Vulkan He'stan,17.00,Red Terror,69.00,Worse in AUD,29.75
620,Rune Priest,17.00,Cadian Heavy Weapon Squad,65.00,Worse in AUD,29.75
621,Prince Yriel,17.00,Catachan Heavy Weapon Squad,65.00,Worse in AUD,29.75
622,Weirdboy,17.00,Fire Dragons,63.00,Worse in AUD,29.75
623,Baneblade Sponsons And Accessories,16.00,Warp Spiders,63.00,Worse in AUD,28.0
624,Ork Mek,16.00,MV71 Sniper Drones & Firesight Marksman,62.00,Worse in AUD,28.0
625,Myphitic Blight-hauler,16.00,Nurgle Daemon Prince,62.00,Worse in AUD,28.0
626,Haemonculus,16.00,Pyrovore,62.00,Worse in AUD,28.0
627,Succubus,16.00,Possessed,61.00,Worse in AUD,28.0
628,Regimental Advisors,15.00,Herald of Khorne on Juggernaut,61.00,Worse in AUD,26.25
629,Catachan Snipers,15.00,"Haarken Worldclaimer, Herald of the Apocalypse",60.00,Worse in AUD,26.25
630,Ork Gretchin,14.00,Skulltaker,60.00,Worse in AUD,24.5
631,Vargard Obyron,13.00,Chaos Space Marines Noise Marine,60.00,Worse in AUD,22.75
632,Lhamaean,13.00,Eldar Farseer Skyrunner,60.00,Worse in AUD,22.75
633,Longstrike,13.00,Primaris Apothecary,60.00,Worse in AUD,22.75
634,Cyberwolf,13.00,Warlock Skyrunner,60.00,Worse in AUD,22.75
635,Night Lords Chaos Lord,12.00,"Karanak, The Hound of Vengeance",60.00,Worse in AUD,21.0
636,Wyrdvane Psykers,12.00,Land Speeder Typhoon,56.00,Worse in AUD,21.0
637,Primaris Psyker,12.00,Land Speeder Tornado,56.00,Worse in AUD,21.0
638,Missionary with Chainsword,12.00,Land Speeder Storm,56.00,Worse in AUD,21.0
639,Sergeant Harker,12.00,Land Speeder,56.00,Worse in AUD,21.0
640,Colonel 'Iron Hand' Straken,12.00,Autarch Skyrunner,56.00,Worse in AUD,21.0
641,Knight Commander Pask,12.00,Lokhust Heavy Destroyer\t\t\t\t\t\t,55.00,Worse in AUD,21.0
642,Cadian Snipers,12.00,Cryptek,55.00,Worse in AUD,21.0
643,Tactical Drones,11.00,Kroot Carnivore Squad,55.00,Worse in AUD,19.25
644,Jokaero Weaponsmith,11.00,Ordo Xenos Lord Inquisitor Kyria Draxus,55.00,Worse in AUD,19.25
645,Astra Militarum Tank Accessories,9.50,Eisenhorn,55.00,Worse in AUD,16.625
646,Commander Farsight,35.00,Primaris Librarian in Phobos Armour,55.00,Worse in AUD,61.25
647,XV8 Crisis Battlesuit Team,47.50,Palatine\t\t\t\t\t\t,55.00,Worse in AUD,83.125
648,Carnifex Brood,57.50,Bike Squad,55.00,Cheaper in AUD,100.625
649,Khorne Lord of Skulls,100.00,The Visarch,52.50,Cheaper in AUD,175.0
650,Tyranid Harpy,52.50,Fafnir Rann,50.00,Cheaper in AUD,91.875
651,Trygon,52.50,Vyper,50.00,Cheaper in AUD,91.875
652, AX3 Razorshark Strike Fighter,47.50,Dominion Zephon,50.00,Worse in AUD,83.125
653,Starweaver,26.00,Chaos Space Marines Sorcerer,49.00,Worse in AUD,45.5
654,Toxicrene,47.50,Skitarii Marshal,49.00,Worse in AUD,83.125
655,Swooping Hawks,27.50,Catachan Jungle Fighters,48.00,Worse in AUD,48.125
656,Voidweaver,26.00,Eldrad Ulthran  ,45.00,Worse in AUD,45.5
657,Knight Tyrant with Plasma Decimator and Volcano Lance,105.00,Spore Mine Cluster,41.00,Cheaper in AUD,183.75
658,Knight Castellan,105.00,Krootox Rider,41.00,Cheaper in AUD,183.75
659,Knight Valiant,105.00,Company Veterans,41.00,Cheaper in AUD,183.75
660,Knight Tyrant with Conflagration Cannon and Thundercoil Harpoon,105.00,Catachan Command Squad,41.00,Cheaper in AUD,183.75
661,Knight Desecrator,95.00,Seekers of Slaanesh,41.00,Cheaper in AUD,166.25
662,Knight Rampager,95.00,Lictor,41.00,Cheaper in AUD,166.25
663,The Triumph of Saint Katherine,67.50,Support Weapon,41.00,Cheaper in AUD,118.125
664,Thornback Brood,57.50,Fallen,41.00,Cheaper in AUD,100.625
665,Old One Eye's Carnifex Brood,57.50,"Bloodmaster, Herald of Khorne",40.00,Cheaper in AUD,100.625
666,Screamer-Killer Brood,57.50,Chaos Lord,40.00,Cheaper in AUD,100.625
667,Mawloc,52.50,Baneblade Sponsons And Accessories,40.00,Cheaper in AUD,91.875
668,Hive Crone,52.50,Inquisitor Greyfax,40.00,Cheaper in AUD,91.875
669,War Dogs with War Dog Autocannon,47.50,Plague Marine Icon Bearer,40.00,Worse in AUD,83.125
670,AX39 Sun Shark Bomber,47.50,Phoenix Lord Asurmen,39.00,Worse in AUD,83.125
671,Armiger Warglaives,47.50,Phoenix Lord Karandras,39.00,Worse in AUD,83.125
672,Maleceptor,47.50,Herald of Slaanesh,39.00,Worse in AUD,83.125
673,War Dogs with Thermal Spear,47.50,Salamanders Captain Vulkan He'stan,39.00,Worse in AUD,83.125
674,Armiger Helverins,47.50,Chaos Space Marines Terminator Lord,37.00,Worse in AUD,83.125
675,Soul Grinder,42.50,Sorcerer Lord in Terminator Armour,37.00,Worse in AUD,74.375
676,Sporocyst and Mucolid Spore,42.50,Prince Yriel,28.00,Worse in AUD,74.375
677,Tyrannocyte,42.50,Phoenix Lord Fuegan,28.00,Worse in AUD,74.375
678,Tyranid Warriors,35.00,Illic Nightspear,28.00,Worse in AUD,61.25
679,Horticulous Slimux,35.00,Haemonculus,28.00,Worse in AUD,61.25
680,Fire Prism,35.00,Lord Castellan Creed,28.00,Worse in AUD,61.25
681,Night Spinner,35.00,Mad Dok Grotsnik,28.00,Worse in AUD,61.25
682,Epidemius,32.50,Phoenix Lord Baharroth,28.00,Worse in AUD,56.875
683,Burning Chariot of Tzeentch,30.00,Anrakyr the Traveller,28.00,Worse in AUD,52.5
684,Vespid Stingwings,30.00,Orikan the Diviner,28.00,Worse in AUD,52.5
685,The Yncarne,30.00,Cyberwolf,28.00,Worse in AUD,52.5
686,Ravener Brood,30.00,Trazyn the Infinite,28.00,Worse in AUD,52.5
687,Exalted Flamer of Tzeentch,30.00,Grey Knights Brother Captain,28.00,Worse in AUD,52.5
688,"Fateskimmer, Herald of Tzeentch on Burning Chariot",30.00,Commissar Yarrick,28.00,Worse in AUD,52.5
689,Biovore,27.50,Vargard Obyron,27.00,Worse in AUD,48.125
690,"Fluxmaster, Herald of Tzeentch",27.50,Officio Prefectus Commissar,26.00,Worse in AUD,48.125
691,Pyrovore,27.50,Longstrike,26.00,Worse in AUD,48.125
692,Red Terror,27.50,Ork Mek,23.00,Worse in AUD,48.125
693,Fire Dragons,27.50,Astra Militarum Tank Accessories,22.00,Worse in AUD,48.125
694,Wolf Lord on Thunderwolf,27.50,Tactical Drones,20.00,Worse in AUD,48.125
695,Infernal Enrapturess,26.00,Kroot Shaper,19.00,Worse in AUD,45.5
696,Yvraine,24.00,Knight Commander Pask,18.00,Worse in AUD,42.0
697,Gargoyle Brood,24.00,Tyrannofex,96.00,Worse in AUD,42.0
698,Autarch Skyrunner,22.00,Knight Tyrant with Plasma Decimator and Volcano Lance,280.00,Worse in AUD,38.5
699,Vyper,21.00,Knight Castellan,280.00,Worse in AUD,36.75
700,Ork Warboss with Attack Squig,21.00,Knight Rampager,180.00,Worse in AUD,36.75
701,Seeker Chariot of Slaanesh,20.00,Knight Desecrator,180.00,Worse in AUD,35.0
702,Kroot Hounds,17.50,Terminus Ultra,138.00,Worse in AUD,30.625
703,Orikan the Diviner,17.00,War Dogs with War Dog Autocannon,125.00,Worse in AUD,29.75
704,Trazyn the Infinite,17.00,Armiger Helverins,125.00,Worse in AUD,29.75
705,Illic Nightspear,17.00,Tervigon,96.00,Worse in AUD,29.75
706,Phoenix Lord Asurmen,17.00,Atalan Jackals,90.00,Worse in AUD,29.75
707,Spore Mine Cluster,17.00,Warp Talons,61.00,Worse in AUD,29.75
708,Canoness Veridyan,17.00,Raptors,61.00,Worse in AUD,29.75
709,Krootox Rider,17.00,Dark Apostle,60.00,Worse in AUD,29.75
710,Support Weapon,16.00,Spiritseer,49.00,Worse in AUD,28.0
711,Lokhust Destroyer,16.00,Ork Nobz,46.00,Worse in AUD,28.0
712,Mad Dok Grotsnik,13.00,Cultists of the Abyss,40.00,Worse in AUD,22.75
713,Kroot Shaper,12.00,Non-Comparable,1,Worse in AUD,21.0
714,Tidewall Shieldline,45.00,Non-Comparable,1,Worse in AUD,78.75
715,XV88 Broadside Battlesuit,35.00,Non-Comparable,1,Worse in AUD,61.25
716,Space Marine Heroes,32.50,Non-Comparable,1,Worse in AUD,56.875
717,Chaos Bikers,26.00,Non-Comparable,1,Worse in AUD,45.5
718,Jackal Alphus,26.00,Non-Comparable,1,Worse in AUD,45.5
719,Chaos Space Marines Noise Marine,24.00,Non-Comparable,1,Worse in AUD,42.0
